City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Saint George,US,66.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
134,Agadir,MA,59.45,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
137,Katsuura,JP,66.63,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
141,Tiznit,MA,54.86,overcast clouds,29.5833,-9.5,
146,Umm Lajj,SA,64.76,clear sky,25.0213,37.2685,Moon light Furnished Units
147,Port Alfred,ZA,66.02,light rain,-33.5906,26.891,The Halyards Hotel
151,Peniche,PT,51.3,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
156,Lebu,CL,57.22,clear sky,-37.6167,-73.65,Hostal Las Lilas
158,Aksu,CN,52.11,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
161,Kant,IN,69.15,clear sky,27.8,79.8,Haseeb Khan shatreng
163,Torres,BR,69.82,overcast clouds,-29.3353,-49.7269,Farol Hotel
167,Uchiza,PE,69.13,broken clouds,-8.4592,-76.4633,Hotel San Pedro
168,Ponta Delgada,PT,55.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
171,Komsomolskiy,UZ,50.72,mist,40.4272,71.7189,Ikathouse
175,Ngunguru,NZ,68.41,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
178,Santa Maria,BR,63.7,light intensity drizzle,-29.6842,-53.8069,Hotel Morotin
182,Rumphi,MW,63.12,overcast clouds,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
204,Faya,SA,55.92,clear sky,18.3851,42.4509,املاك خالد الشعشوع
205,Dulce Grande,MX,68.43,clear sky,23.0,-102.1667,
210,Ponta Do Sol,PT,55.06,broken clouds,32.6667,-17.1,Hotel do Campo
212,Laguna,US,66.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
213,Seminole,US,57.56,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
216,Te Anau,NZ,69.96,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
222,Christchurch,NZ,67.41,scattered clouds,-43.5333,172.6333,The George
223,Botou,CN,57.31,clear sky,38.0667,116.5667,Hanting Hotel Huanghua City Hall
231,Naze,JP,68.92,clear sky,28.3667,129.4833,Shishime Hotel
238,Mizdah,LY,53.73,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
256,Hikari,JP,64.38,overcast clouds,33.955,131.95,Hotel Matsubaraya
261,Marzuq,YE,60.71,clear sky,14.4,46.4667,
268,San Quintin,MX,58.39,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
274,Mount Darwin,ZW,62.73,scattered clouds,-16.7725,31.5838,
276,Pandamatenga,BW,65.37,broken clouds,-18.5278,25.627,Wildtrack Safaris Eco Lodge
277,Gunjur,GM,68.58,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
278,Constantine,DZ,50.14,overcast clouds,36.365,6.6147,Grand Hotel Cirta
280,Fraijanes,GT,64.47,broken clouds,14.4653,-90.4408,PERRULUL Criadero HOSPEDAJE
282,Constitucion,CL,59.92,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
283,Ihosy,MG,65.79,overcast clouds,-22.4,46.1167,Hotely Sariaka
284,Portland,US,51.91,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
291,La Palma,US,69.91,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
303,San Ramon,US,60.93,clear sky,37.7799,-121.978,San Ramon Marriott
306,Castro,BR,63.39,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
317,Prescott,US,55.27,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
319,Breyten,ZA,54.77,few clouds,-26.3018,29.987,Breyten Hotel-Two Stars
321,Lagoa,PT,55.26,overcast clouds,39.05,-27.9833,Casa Das Faias
330,Shahr-E Babak,IR,55.31,scattered clouds,30.1165,55.1186,Duna Ecolodge
337,Shenjiamen,CN,58.98,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
346,Sao Lourenco Do Sul,BR,66.45,overcast clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
361,Coihaique,CL,53.55,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
371,Castro Marim,PT,55.29,light rain,37.2207,-7.4435,Parador de Ayamonte
373,Magalia,US,58.55,scattered clouds,39.8121,-121.5783,Paradise Pines RV Park - Price Match
377,Kutum,SD,62.04,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
383,Port Said,EG,52.66,overcast clouds,31.2565,32.2841,Aracan Hotel
385,Marau,BR,61.5,overcast clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
386,Bahia Blanca,AR,68.97,clear sky,-38.7196,-62.2724,Hotel Argos
390,Tuatapere,NZ,65.32,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
404,Vila Franca Do Campo,PT,55.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
407,Cuamba,MZ,67.84,light rain,-14.8031,36.5372,Hotel Vision
413,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Hotel San Juan
421,Bure,ET,60.76,overcast clouds,10.7,37.0667,Holiday
424,Aliwal North,ZA,59.77,overcast clouds,-30.6937,26.7114,Queens Terrace B&B
429,Lusambo,CD,67.98,overcast clouds,-4.9667,23.45,
433,Sakaiminato,JP,53.53,light intensity drizzle,35.55,133.2333,Matsuya
438,San Patricio,US,64.26,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
441,Necochea,AR,58.55,clear sky,-38.5473,-58.7368,dyd -mar Hotel
445,Rio Grande,BR,64.94,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
450,Great Bend,US,60.93,clear sky,38.3645,-98.7648,Best Western Angus Inn
459,Sahuaripa,MX,64.62,clear sky,29.05,-109.2333,Estatua de Sahuaripa
468,Minas,UY,55.08,clear sky,-34.3759,-55.2377,Hotel Minas
469,Kasulu,TZ,61.95,overcast clouds,-4.5767,30.1025,Nazaret lodge
471,Korla,CN,53.24,overcast clouds,41.7597,86.1469,Gulisitan Hotel
477,Ndola,ZM,59.5,overcast clouds,-12.9587,28.6366,Chabanga Lodge iSpot
478,Valparaiso,CL,62.47,haze,-33.0393,-71.6273,Hotel Ultramar
482,Rawson,AR,62.22,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
488,Umm Kaddadah,SD,66.65,clear sky,13.6017,26.6876,
491,Cidreira,BR,69.75,overcast clouds,-30.1811,-50.2056,Hotel Castelo
493,Eureka,US,55.74,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
499,Tsabong,BW,66.25,light rain,-26.0217,22.401,Springbok Motel
501,Redlands,US,67.26,scattered clouds,34.0556,-117.1825,Dynasty Suites Redlands
502,Duiwelskloof,ZA,67.26,few clouds,-23.6934,30.14,Silvermist Guesthouse
507,Izumo,JP,53.49,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
511,Porto Santo,PT,52.18,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
516,Teguise,ES,59.22,light intensity drizzle,29.0605,-13.564,B&B La Casona de Nazaret
530,Fortuna,US,54.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
532,Broken Hill,AU,67.71,light rain,-31.95,141.4333,Royal Exchange Hotel
535,Plettenberg Bay,ZA,59.85,light rain,-34.0527,23.3716,Thanda Vista B&B
536,Tomatlan,MX,66.07,clear sky,19.9333,-105.25,El Salvial
555,Mizan Teferi,ET,66.06,overcast clouds,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
558,Salinas,US,65.57,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
565,Zimapan,MX,50.11,clear sky,20.75,-99.35,Hotel Royal Spa
569,Talcahuano,CL,62.28,clear sky,-36.7167,-73.1167,departamento comodo
571,Pahrump,US,68.05,scattered clouds,36.2083,-115.9839,Best Western Pahrump Oasis
574,Murgab,TM,53.47,light rain,37.4966,61.9714,
575,Dunedin,NZ,66.79,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
578,Gwanda,ZW,64.72,broken clouds,-20.9333,29.0,Mafax Homeways
587,Jatai,BR,68.22,broken clouds,-17.8814,-51.7144,Hotel Califórnia
596,Marrakesh,MA,57.27,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
615,Lages,BR,60.28,light rain,-27.8161,-50.3261,Hotel Le CanarD Lages
617,Pacific Grove,US,61.21,clear sky,36.6177,-121.9166,Lovers Point Inn
618,Surt,LY,55.15,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
631,Nador,MA,59.25,clear sky,35.174,-2.9287,Hôtel La Giralda
634,Lavumisa,SZ,67.68,few clouds,-27.31,31.892,ROADSIDE B&B
638,Taltal,CL,67.53,clear sky,-25.4,-70.4833,Residencial Karime
641,Rocha,UY,56.26,clear sky,-34.4833,-54.3333,Hotel Arrarte
650,San Luis Obispo,US,56.39,clear sky,35.3666,-120.5343,John Cabrinha (Ranch)
653,Bam,IR,69.75,few clouds,29.106,58.357,Bam Tourist Hotel
654,Dodola,ET,50.88,overcast clouds,6.9833,39.1833,Lakko Guest Rooms
660,Aswan,EG,54.14,clear sky,24.0934,32.907,Nuba Nile
