City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bredasdorp,ZA,56.52,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
1,Mataura,NZ,65.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
2,Hobart,AU,64.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
7,Diamantina,BR,63.88,overcast clouds,-18.2494,-43.6003,POUSADA OURO DE MINAS
14,Jalu,LY,52.38,clear sky,29.0331,21.5482,صاحبة الفخامة
23,Russell,US,51.4,clear sky,32.3502,-85.1999,Macs
24,Ribeira Grande,PT,56.3,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
29,Chuy,UY,60.55,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
32,Lisala,CD,68.23,overcast clouds,2.15,21.5167,Flat hôtel tozelaka
37,Dakar,SN,68.88,clear sky,14.6937,-17.4441,Novotel Dakar
42,Bluff,NZ,65.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
44,Hermanus,ZA,52.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
45,Guerrero Negro,MX,62.15,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
47,East London,ZA,68.07,moderate rain,-33.0153,27.9116,Tu Casa
49,Kaitangata,NZ,65.23,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
50,New Norfolk,AU,63.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
53,Vila Do Maio,CV,68.79,clear sky,15.1333,-23.2167,Hotel Marilu
65,Cape Town,ZA,58.12,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
66,Los Llanos De Aridane,ES,60.55,clear sky,28.6585,-17.9182,Valle Aridane
69,Mar Del Plata,AR,67.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
71,Lompoc,US,63.79,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
72,Purranque,CL,56.53,scattered clouds,-40.9167,-73.1667,HOSPADAJE ERICA
86,Saldanha,ZA,51.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
87,Along,IN,66.49,clear sky,28.1667,94.7667,Hotel West
89,Lupiro,TZ,69.69,overcast clouds,-8.3833,36.6667,AFRICAN JACCANA EXECUTIVE LODGE
97,Kruisfontein,ZA,58.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
111,Port Elizabeth,ZA,61.11,light rain,-33.918,25.5701,39 On Nile Guest House
120,Arlit,NE,67.12,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
122,Coahuayana,MX,69.42,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
124,Lodja,CD,67.87,overcast clouds,-3.4833,23.4333,
